id,name,price,brand,rating,volume,id_seller,image,reviews_with_text,valuation
3586329,Туалетная вода мужская Imperator Atlantis 8 100 мл духи,571.0,ПонтиПарфюм,5,4,14104,https://basket-01.wbbasket.ru/vol35/part3586/3586329/images/big/1.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586329/images/big/2.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586329/images/big/3.webp;,0,
3889501,Душистая вода детская Lovely Teddy 15 мл духи,279.0,Teddy,5,2,14104,https://basket-01.wbbasket.ru/vol38/part3889/3889501/images/big/1.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889501/images/big/2.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889501/images/big/3.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889501/images/big/4.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889501/images/big/5.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889501/images/big/6.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889501/images/big/7.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889501/images/big/8.webp;,0,
6861180,Туалетная вода мужская Imperator Atlantis 7 100 мл духи,571.0,ПонтиПарфюм,5,4,14104,https://basket-01.wbbasket.ru/vol68/part6861/6861180/images/big/1.webp;https://basket-01.wbbasket.ru/vol68/part6861/6861180/images/big/2.webp;https://basket-01.wbbasket.ru/vol68/part6861/6861180/images/big/3.webp;,0,
5528321,Туалетная вода женская VELVET DANCE 30мл духи детские,416.0,Hello Kitty,5,5,14104,https://basket-01.wbbasket.ru/vol55/part5528/5528321/images/big/1.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528321/images/big/2.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528321/images/big/3.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528321/images/big/4.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528321/images/big/5.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528321/images/big/6.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528321/images/big/7.webp;,1,3.0
152957427,Парфюмерный Набор Cherry passion 2x15 мл духи подарок,420.0,Love Is,5,16,14104,https://basket-10.wbbasket.ru/vol1529/part152957/152957427/images/big/1.webp;https://basket-10.wbbasket.ru/vol1529/part152957/152957427/images/big/2.webp;https://basket-10.wbbasket.ru/vol1529/part152957/152957427/images/big/3.webp;https://basket-10.wbbasket.ru/vol1529/part152957/152957427/images/big/4.webp;https://basket-10.wbbasket.ru/vol1529/part152957/152957427/images/big/5.webp;https://basket-10.wbbasket.ru/vol1529/part152957/152957427/images/big/6.webp;https://basket-10.wbbasket.ru/vol1529/part152957/152957427/images/big/7.webp;https://basket-10.wbbasket.ru/vol1529/part152957/152957427/images/big/8.webp;,0,
147183213,Духи женские Imperatrice Atlantis 13 13 мл миниатюры,415.0,ПонтиПарфюм,5,1,14104,https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/1.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/2.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/3.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/4.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/5.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/6.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/7.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/8.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/9.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/10.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/11.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183213/images/big/12.webp;,0,
3889502,Душистая вода детская Funny Teddy 15 мл духи,279.0,Teddy,5,2,14104,https://basket-01.wbbasket.ru/vol38/part3889/3889502/images/big/1.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889502/images/big/2.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889502/images/big/3.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889502/images/big/4.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889502/images/big/5.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889502/images/big/6.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889502/images/big/7.webp;https://basket-01.wbbasket.ru/vol38/part3889/3889502/images/big/8.webp;,0,
147182031,Духи женские Imperatrice Atlantis 14 13 мл миниатюры,415.0,ПонтиПарфюм,5,1,14104,https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/1.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/2.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/3.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/4.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/5.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/6.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/7.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/8.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/9.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/10.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/11.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/12.webp;https://basket-10.wbbasket.ru/vol1471/part147182/147182031/images/big/13.webp;,0,
160465576,Туалетная вода детская Crazy fruits 50 мл духи,416.0,Чебурашка,5,5,14104,https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/1.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/2.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/3.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/4.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/5.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/6.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/7.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/8.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/9.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/10.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/11.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/12.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/13.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/14.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/15.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/16.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/17.webp;https://basket-11.wbbasket.ru/vol1604/part160465/160465576/images/big/18.webp;,0,
3586321,Парфюмерная вода женская Imperatrice Atlantis 5 50 мл духи,489.0,ПонтиПарфюм,5,4,14104,https://basket-01.wbbasket.ru/vol35/part3586/3586321/images/big/1.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586321/images/big/2.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586321/images/big/3.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586321/images/big/4.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586321/images/big/5.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586321/images/big/6.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586321/images/big/7.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586321/images/big/8.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586321/images/big/9.webp;,6,3.8
3586330,Туалетная вода мужская Imperator Atlantis 9 100 мл духи,571.0,ПонтиПарфюм,5,6,14104,https://basket-01.wbbasket.ru/vol35/part3586/3586330/images/big/1.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586330/images/big/2.webp;,8,4.9
3586323,Туалетная вода мужская Imperator Atlantis 2 100 мл духи,571.0,ПонтиПарфюм,5,4,14104,https://basket-01.wbbasket.ru/vol35/part3586/3586323/images/big/1.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586323/images/big/2.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586323/images/big/3.webp;https://basket-01.wbbasket.ru/vol35/part3586/3586323/images/big/4.webp;,2,5.0
5528319,Туалетная вода женская CHERRY CREAM 30 мл духи детские,416.0,Hello Kitty,5,7,14104,https://basket-01.wbbasket.ru/vol55/part5528/5528319/images/big/1.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528319/images/big/2.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528319/images/big/3.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528319/images/big/4.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528319/images/big/5.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528319/images/big/6.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528319/images/big/7.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528319/images/big/8.webp;https://basket-01.wbbasket.ru/vol55/part5528/5528319/images/big/9.webp;,0,
24634722,Туалетная вода женская cherry kiss 50 мл духи сладкие,504.0,Love Is,5,3,14104,https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/1.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/2.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/3.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/4.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/5.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/6.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/7.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/8.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/9.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/10.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/11.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/12.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/13.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/14.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/15.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/16.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/17.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/18.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/19.webp;https://basket-02.wbbasket.ru/vol246/part24634/24634722/images/big/20.webp;,0,
147183340,Духи женские Imperatrice Atlantis 8 13 мл миниатюры,415.0,ПонтиПарфюм,5,1,14104,https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/1.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/2.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/3.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/4.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/5.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/6.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/7.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/8.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/9.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/10.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/11.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/12.webp;https://basket-10.wbbasket.ru/vol1471/part147183/147183340/images/big/13.webp;,0,
10570402,Шампунь для волос гель детский BERRY SHOWER 3в1 250 мл,247.0,Hello Kitty,5,13,14104,https://basket-01.wbbasket.ru/vol105/part10570/10570402/images/big/1.webp;https://basket-01.wbbasket.ru/vol105/part10570/10570402/images/big/2.webp;https://basket-01.wbbasket.ru/vol105/part10570/10570402/images/big/3.webp;https://basket-01.wbbasket.ru/vol105/part10570/10570402/images/big/4.webp;https://basket-01.wbbasket.ru/vol105/part10570/10570402/images/big/5.webp;https://basket-01.wbbasket.ru/vol105/part10570/10570402/images/big/6.webp;https://basket-01.wbbasket.ru/vol105/part10570/10570402/images/big/7.webp;https://basket-01.wbbasket.ru/vol105/part10570/10570402/images/big/8.webp;https://basket-01.wbbasket.ru/vol105/part10570/10570402/images/big/9.webp;https://basket-01.wbbasket.ru/vol105/part10570/10570402/images/big/10.webp;,0,
